ubigeo,region,prev_hombre,prev_mujer,brecha
0101,10,0.1050250058746245,0.045680296506814835,0.05934470936780967
0201,7,0.14357062348467112,0.06415888689498087,0.07941173658969025
0202,7,0.17467668579155732,0.08005240273920562,0.0946242830523517
0203,7,0.18110498777387773,0.08019313801767328,0.10091184975620446
0204,7,0.19088647905250639,0.08455907258311354,0.10632740646939284
0205,7,0.17471404672305438,0.08084993282489746,0.09386411389815692
0206,7,0.14467395055540244,0.06175394807664855,0.08292000247875389
0207,7,0.17484468970309178,0.07664420222175763,0.09820048748133414
0208,7,0.17221959792985922,0.07596352480629033,0.09625607312356889
0209,7,0.20014902423507622,0.0865212547711907,0.11362776946388552
0210,7,0.1607096650772945,0.07386084119108717,0.08684882388620734
0301,6,0.15324541928430438,0.06642517055265909,0.08682024873164529
0302,6,0.1678326830672914,0.07436664011988489,0.09346604294740651
0303,6,0.14262370310106054,0.06452259317670819,0.07810110992435235
0304,6,0.1321143882781212,0.055547190880568496,0.07656719739755269
0305,6,0.1433044121092601,0.06400226830062405,0.07930214380863604
0401,6,0.10521640028483756,0.04602013653641701,0.05919626374842055
0402,6,0.11656248628459413,0.04797298872589068,0.06858949755870344
0403,6,0.15874933758614945,0.07152878384005733,0.08722055374609212
0404,6,0.17399745215204582,0.07751328392469718,0.09648416822734864
0405,6,0.12491069731756044,0.05352248065720663,0.0713882166603538
0406,6,0.11725481748342882,0.053536351424907834,0.063718466058521
0407,6,0.14115786844702952,0.059558196869248646,0.08159967157778086
0408,6,0.1476101369176753,0.06400861827584509,0.08360151864183021
0409,6,0.11548939579572287,0.04815676126370244,0.06733263453202043
0410,6,0.1809717539903588,0.08060142973332164,0.10037032425703717
0411,6,0.10149226930024514,0.04445257054028151,0.057039698759963633
0501,4,0.0981521261417734,0.04294375639147618,0.05520836975029723
0502,4,0.12995520796094065,0.054142534518715084,0.07581267344222556
0503,4,0.14015162461033856,0.059519348955271015,0.08063227565506755
0504,4,0.16594206331553618,0.06736691889473881,0.09857514442079737
0505,4,0.1198475105777838,0.05330763764481248,0.06653987293297131
0601,3,0.09258297638286193,0.040078491166991886,0.05250448521587005
0602,3,0.15139199475467266,0.06688247657867676,0.0845095181759959
0603,3,0.12906201118659183,0.055268507645980944,0.07379350354061089
0604,3,0.11932675261143705,0.05346179430417086,0.06586495830726619
0605,3,0.13945905309434672,0.062469013330754185,0.07699003976359253
0606,3,0.1215227078079525,0.05264871511774923,0.06887399269020328
0607,3,0.12200892852211574,0.0549858223394678,0.06702310618264795
0701,7,0.2013128965379057,0.08766716007095271,0.113645736466953
0702,7,0.24165696476394338,0.10843198617558338,0.13322497858836002
0703,7,0.22063520186245572,0.10465283084352277,0.11598237101893295
0704,7,0.2300557164785482,0.1046952919006398,0.1253604245779084
0705,7,0.2202687277636286,0.10463472938968917,0.11563399837393944
0706,7,0.22107806994205173,0.10509868337958254,0.11597938656246919
0801,8,0.17436901015796002,0.0812581786826157,0.09311083147534432
0802,8,0.1499528508560003,0.06979499421151002,0.08015785664449028
0901,1,0.14696109507720032,0.0656651602829865,0.08129593479421382
0902,1,0.16472937871579663,0.07406599767397666,0.09066338104181997
0903,1,0.1613745870236275,0.07122057124483958,0.09015401577878793
0904,1,0.15206904589222126,0.07021397513905508,0.08185507075316617
0905,1,0.16293815020139238,0.07566227336206446,0.08727587683932791
1001,6,0.12669778112712085,0.05692932744557628,0.06976845368154458
1002,6,0.12581148825155608,0.05463172164224927,0.0711797666093068
1003,6,0.14492364788528955,0.06304392983861244,0.08187971804667711
1004,6,0.16035899932664693,0.07157340536016994,0.08878559396647699
1005,6,0.14980438192895837,0.07117201574427864,0.07863236618467973
1006,6,0.12757934044013833,0.053277148955592254,0.07430219148454607
1101,8,0.13582985346614157,0.06097452002114199,0.07485533344499959
1102,8,0.15899985191971341,0.07463481525785058,0.08436503666186283
1201,8,0.10291449073704564,0.044923923108717234,0.05799056762832841
1202,8,0.17064589170123173,0.07880131347014083,0.0918445782310909
1203,8,0.12727459148686843,0.05654745337879021,0.07072713810807821
1301,2,0.09877253777004748,0.04284698769966202,0.05592555007038546
1302,2,0.09508182009030294,0.04037277045101752,0.054709049639285426
1303,2,0.10072366846154802,0.04305546901667496,0.057668199444873065
1304,2,0.10279616150845453,0.04507190449155456,0.05772425701689997
1401,3,0.10977134955077632,0.047781174623265504,0.06199017492751081
1402,3,0.1208577897893031,0.05405863870441845,0.06679915108488466
1403,3,0.1267026298470218,0.0556909351620237,0.0710116946849981
1404,3,0.10752043018799487,0.04766612806129081,0.05985430212670406
1501,4,0.09904171781648943,0.044146404918350465,0.05489531289813897
1502,4,0.12236043240181385,0.05457364439697396,0.06778678800483989
1503,4,0.12194268930167657,0.05254661206691082,0.06939607723476575
1504,4,0.09337699254558451,0.03980394011394605,0.053573052431638464
1505,4,0.11711889485128495,0.053480750955894364,0.06363814389539058
1506,4,0.09996854169716693,0.04493643578167285,0.05503210591549408
1601,6,0.14848511859138022,0.06802334184761338,0.08046177674376684
1602,6,0.1651863455371654,0.07306533281549935,0.09212101272166606
1701,5,0.10069547065837275,0.043484154505152195,0.05721131615322056
1702,5,0.10360304846549555,0.044762271668305584,0.058840776797189964
1703,5,0.12475460257178977,0.0552087135869343,0.06954588898485548
1801,1,0.12509175243632173,0.05474874682658868,0.07034300560973306
1802,1,0.18550180122824642,0.08182902369601247,0.10367277753223395
1803,1,0.15990265737853257,0.06813003244916793,0.09177262492936464
1804,1,0.16336618823550694,0.07485821497597359,0.08850797325953336
1805,1,0.17415538094302677,0.08158738626465535,0.09256799467837142
1806,1,0.17413938031473936,0.07823203743963619,0.09590734287510316
1807,1,0.16321973618682914,0.07470070814365014,0.088519028043179
1808,1,0.16755478482956415,0.07317275817906582,0.09438202665049833
1809,1,0.15371187578664872,0.06938750095409987,0.08432437483254884
1901,3,0.1159592385792656,0.04932767644647653,0.06663156213278906
1902,3,0.12599274687056933,0.05414723645592007,0.07184551041464926
1903,3,0.12859054835407133,0.058195121503923156,0.07039542685014817
2001,3,0.1274925872132767,0.057387488237947905,0.0701050989753288
2002,3,0.1154506738895677,0.05062625314582504,0.06482442074374266
2003,3,0.11514452207023382,0.04928327048726459,0.06586125158296924
2101,5,0.1008903143087577,0.043944104639623234,0.05694620966913446
2102,5,0.12004465099881091,0.05092329944185588,0.06912135155695504
2103,5,0.10557769021998697,0.04626506211942512,0.05931262810056186
2104,5,0.130812562210934,0.05619466923719685,0.07461789297373717
2105,5,0.11094846056101676,0.04770852482944927,0.0632399357315675
2106,5,0.1349119243107417,0.06097351347652344,0.07393841083421826
2107,5,0.11310996091575742,0.04998914656153598,0.06312081435422144
2108,5,0.15961155516642542,0.07186869780547753,0.08774285736094789
2201,7,0.14895056032828063,0.06582298021003201,0.08312758011824863
2202,7,0.18799341305827638,0.08336154253771277,0.10463187052056361
2203,7,0.2100990302758861,0.09651261976412603,0.11358641051176008
2204,7,0.17840623337538694,0.08026901560380018,0.09813721777158677
2205,7,0.17012301137181274,0.0749676187450439,0.09515539262676884
2206,7,0.1991242811179471,0.09120430888521522,0.10791997223273189
2301,9,0.07909530545932839,0.03343872603418437,0.04565657942514401
2302,9,0.11391226115623757,0.05108529899442827,0.0628269621618093
2303,9,0.1406337363922663,0.06080405386626622,0.07982968252600009
2304,9,0.09063966710344425,0.04000329740883079,0.05063636969461346
2305,9,0.08354620087244075,0.03538274603094855,0.0481634548414922
2306,9,0.11584285144847216,0.04939549705845153,0.06644735439002063
2401,2,0.08891114136510099,0.03732444120414571,0.05158670016095528
2402,2,0.10590346271250763,0.0443706596938325,0.06153280301867513
2403,2,0.10257617028956581,0.04278150594171131,0.0597946643478545
2404,2,0.10118916409712334,0.0430146186798763,0.05817454541724704
2501,1,0.11465293202736439,0.050097783702527605,0.06455514832483678
2502,1,0.12524347841111277,0.05664514175140716,0.0685983366597056
2503,1,0.19133545718699685,0.09036704507307045,0.1009684121139264
2504,1,0.1247670248275099,0.05390801629807818,0.07085900852943172
2505,1,0.1701389247028661,0.07979609597631114,0.09034282872655496
2506,1,0.1415982718552078,0.06279936350487732,0.07879890835033047
2507,1,0.1496012727320399,0.06922876576138247,0.08037250697065744
2508,1,0.14607721066091867,0.06547178047786778,0.08060543018305089
2509,1,0.15134977384340753,0.0661933772388863,0.08515639660452123
2510,1,0.17879649219072388,0.08689191285642417,0.09190457933429971
2601,4,0.11824344625251891,0.050276358208224674,0.06796708804429424
2602,4,0.12318892697313007,0.053202983443529084,0.06998594352960098
2603,4,0.10955547588655819,0.04617223928016101,0.06338323660639718
2701,4,0.0879253663058233,0.03733966108296162,0.05058570522286168
2702,4,0.0983440537714345,0.042788875858981154,0.055555177912453346
2703,4,0.09825310645540979,0.04216086643254331,0.056092240022866474
2801,2,0.08540378185403176,0.03552624152842961,0.04987754032560215
2802,2,0.08691909533284325,0.03598501531593718,0.05093408001690607
2803,2,0.08858612864102312,0.03675328613176277,0.05183284250926035
2901,9,0.1168559335937672,0.050431534574925996,0.0664243990188412
2902,9,0.10304009276082346,0.04442747043163106,0.0586126223291924
2903,9,0.10664372983085929,0.044899507079292356,0.061744222751566935
2904,9,0.11874185142684535,0.05250217041809066,0.06623968100875469
2905,9,0.13268291023552525,0.05852741415861405,0.0741554960769112
3001,9,0.0988739691992549,0.04299691816189604,0.055877051037358856
